"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"FTH1"	6.10677448617651	-1.61646076642814	1.02871820051531e-15	-1.90803125951638	6.0025133700671e-22	-3.52449202594453
"ACTC1"	5.37902957622675	1.08345859640217	0.000134806053871924	2.75627061774593	1.26659472102548e-19	3.83972921414811
"EEF1G"	5.37575822501089	5.15999783626046	1.416012130492e-58	0.469429536661513	5.55571327202493e-07	5.62942737292197
"MT-CO1"	5.33577977853369	-2.54739820666114	0.0394355221286574	-2.98696625192897	5.4663367498584e-07	-5.53436445859011
"PPIA"	5.32251595812766	-3.02627598924364	1.86332256883528e-33	-3.04600879633264	2.9422185657281e-37	-6.07228478557628
"MT-ATP6"	5.22357487524572	-1.97106085865135	0.0116548714353895	-2.53299381184062	2.08761144620541e-10	-4.50405467049197
"MT-ND2"	5.02424077329882	-2.81967068408884	0.0229190593884585	-2.9786618064681	6.14971407939268e-07	-5.79833249055694
"NACA"	5.00278297651305	-1.61122364774054	4.74137153779855e-20	-1.59306839263843	3.69109100423456e-23	-3.20429204037897
"S100A4"	4.9527079367515	-3.16663351452747	1.8191442663922e-16	-4.49569208967101	7.79838209690553e-28	-7.66232560419848
"TPT1"	4.91519197016593	-2.94812916456856	5.41948327777877e-06	-3.21777987253676	3.26619508387872e-08	-6.16590903710532
"AABR07071891.2"	4.86494429170235	-1.73507706185177	9.49050717246054e-06	-2.03144351606739	2.01410456320148e-08	-3.76652057791917
"TIMP1"	4.85373642770532	1.53586531321543	8.84005966939304e-08	2.05884089714159	4.79020879157597e-14	3.59470621035702
"AABR07016623.1"	4.81071936413221	-1.73507706185177	1.81275632582239e-05	-1.82226864592036	4.30606928265621e-07	-3.55734570777213
"EEF2"	4.77771264695277	-3.14403336695399	1.79825868056339e-14	-2.15927028507973	1.81261576880211e-10	-5.30330365203372
"TUBB"	4.77120186237161	1.4845110445156	3.3815664127441e-12	2.0992887389993	2.88300993315296e-22	3.58379978351491
"TUBB5"	4.77120186237161	1.4845110445156	3.3815664127441e-12	2.0992887389993	2.88300993315296e-22	3.58379978351491
"CDK2AP1"	4.65384210397712	2.76207484487286	4.83163637298589e-21	1.62127822040437	8.71763367037237e-13	4.38335306527724
"GM12184"	4.65384210397712	2.76207484487286	4.83163637298589e-21	1.62127822040437	8.71763367037237e-13	4.38335306527724
"FAU"	4.4982129812543	-1.95498068619945	0.000317724086139884	-2.54211475052394	1.08932700809171e-08	-4.49709543672339
"TXN"	4.47318295205209	-1.08737622112363	0.00106776105754795	-2.43460763948357	1.27472872370999e-13	-3.5219838606072
"TXN1"	4.47318295205209	-1.08737622112363	0.00106776105754795	-2.43460763948357	1.27472872370999e-13	-3.5219838606072
"TMSB4X"	4.38265315881084	-3.5136312463829	2.18075562132332e-23	-4.57685579267232	7.08262952374945e-35	-8.09048703905522
"CAV1"	4.37562214468753	2.93722880088508	2.07469494338972e-23	0.734193741964743	0.00019346016972482	3.67142254284982
"GPC1"	4.37434533548848	-2.39988856758039	1.90331222269782e-19	-2.95533224949006	1.16966463859852e-27	-5.35522081707045
"MYL12A"	4.35686328385734	-2.16023378694915	1.71709974075965e-09	-2.81188180537691	2.1026740242246e-17	-4.97211559232606
"RHOA"	4.30890066601013	2.30006658220641	2.32679474592004e-12	1.32622720530301	6.58125983217817e-07	3.62629378750942
"DAD1"	4.2489143978778	1.06265069721503	8.5918059536862e-08	2.05554283538387	4.5695898915333e-22	3.11819353259891
"ATP5B"	4.23477673441945	-1.85395656078403	0.000283589177309663	-2.47322786290947	4.1124348657087e-09	-4.32718442369351
"ATP5F1B"	4.23477673441945	-1.85395656078403	0.000283589177309663	-2.47322786290947	4.1124348657087e-09	-4.32718442369351
