"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"AABR07025010.1"	6.44654284249783	-1.51561921516331	2.36785664122778e-11	-1.95217454378482	1.3019573630203e-15	-3.46779375894813
"GAPDH"	6.44654284249783	-1.51561921516331	2.36785664122778e-11	-1.95217454378482	1.3019573630203e-15	-3.46779375894813
"EEF1A1"	5.79064342375038	1.42224463428667	8.38641264719234e-08	1.44073659864052	5.84395180659939e-08	2.86298123292719
"UBC"	5.67916292511428	-1.45718426144193	1.09334133170449e-05	-2.28019177323964	1.77375312523306e-10	-3.73737603468157
"FN1"	5.5844788186881	-1.84576492791709	2.23608296770843e-07	-1.94118960634492	9.65504889959301e-08	-3.78695453426201
"LDHA"	5.49547093810929	-1.5285559166215	1.38278692642697e-08	-1.48544476836979	4.68922488651327e-08	-3.0140006849913
"EEF1G"	5.37575822501089	-4.69056829959895	7.06643679310508e-56	-5.15999783626046	1.416012130492e-58	-9.85056613585941
"MYL4"	5.26436206252121	-3.37089932614913	4.26642970730674e-16	-1.91175867704095	3.04002115293219e-07	-5.28265800319008
"COL1A2"	5.23021583789301	-2.64501914314197	1.49203435074112e-15	-2.11837173053441	2.51232899572485e-11	-4.76339087367638
"NEWGENE_621351"	5.23021583789301	-2.64501914314197	1.49203435074112e-15	-2.11837173053441	2.51232899572485e-11	-4.76339087367638
"COL3A1"	5.16002715436075	-2.67890600515619	4.30039226769887e-21	-1.64180088042652	4.59455954447627e-11	-4.32070688558271
"CTGF"	5.01933647640461	-5.00342519367733	2.68840749346987e-19	-3.91250359019342	7.48008368498296e-14	-8.91592878387075
"TUBA1C"	4.85466590655152	-3.99594798309569	1.45633394024688e-15	-2.91088337020845	3.11315521991717e-10	-6.90683135330414
"YBX1"	4.83321343120148	-3.43494501797517	3.98742787634536e-18	-3.2273312249728	8.58089934512012e-17	-6.66227624294797
"EEF2"	4.77771264695277	0.984763081874258	0.00502684633608108	3.14403336695399	1.79825868056339e-14	4.12879644882825
"EIF1"	4.71374971819979	-1.83198042269029	3.6122207722555e-10	-1.42603641147347	5.68574556805397e-07	-3.25801683416376
"AABR07008097.1"	4.65693431727524	1.33162716480971	9.54415254114105e-16	1.70384360198555	8.76434559317766e-21	3.03547076679526
"CDK2AP1"	4.65384210397712	-1.14079662446849	3.02413051594435e-07	-2.76207484487286	4.83163637298589e-21	-3.90287146934135
"GM12184"	4.65384210397712	-1.14079662446849	3.02413051594435e-07	-2.76207484487286	4.83163637298589e-21	-3.90287146934135
"BGN"	4.63775905943996	2.7499637352161	2.09149585405795e-10	1.65142494563306	5.93360644368523e-05	4.40138868084916
"YWHAE"	4.55004963871473	-1.65507121018553	2.9393211309545e-05	-1.58767904853154	7.34470824172403e-05	-3.24275025871707
"TAGLN"	4.43463121549045	-3.45552785072193	6.05140218353898e-25	-1.64714172442935	1.27309021569775e-09	-5.10266957515128
"DYNLL1"	4.43065474145088	-2.12185519501753	1.02058140557923e-08	-1.05571808341946	0.00347276797476814	-3.17757327843699
"CAV1"	4.37562214468753	-2.20303505892033	4.51383729537153e-17	-2.93722880088508	2.07469494338972e-23	-5.14026385980541
"SERINC3"	4.36704636172823	-1.58072920571211	2.66955733850785e-07	-1.38127408676031	6.82544036257855e-06	-2.96200329247242
"MYL1"	4.35430642486688	3.62219092908992	2.27248942651165e-14	0.976767745982106	0.0199576895399713	4.59895867507203
