"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"ANKRD1"	5.82513378672721	1.32120013825499	2.97333549884751e-05	1.55553311675358	7.72770068400934e-08	2.87673325500857
"MT-ND3"	5.58945979337256	1.86356017122518	0.0048160458519674	1.56438330892887	8.37144002170043e-07	3.42794348015405
"MT-CO3"	5.5450166847195	1.60733171870025	0.0219170343193951	1.68911995138179	6.1023758539949e-07	3.29645167008205
"ACTC1"	5.37902957622675	-1.67281202134376	1.13056292128693e-08	-2.75627061774593	1.26659472102548e-19	-4.42908263908969
"MYL4"	5.26436206252121	3.37089932614913	4.26642970730674e-16	1.45914064910819	5.56614191703167e-06	4.83003997525732
"COL3A1"	5.16002715436075	2.67890600515619	4.30039226769887e-21	1.03710512472967	5.26923773335303e-07	3.71601112988587
"GM23301"	5.15687171609324	1.88674391855044	1.78766112147035e-05	1.29503966380939	0.000156838807350957	3.18178358235982
"CTGF"	5.01933647640461	5.00342519367733	2.68840749346987e-19	1.09092160348391	0.00635276088131836	6.09434679716125
"S100A4"	4.9527079367515	1.32905857514355	1.62680077112964e-05	4.49569208967101	7.79838209690553e-28	5.82475066481456
"ACTA2"	4.94191689584501	-1.93946207797987	4.71352938006872e-10	-1.46732814020059	5.5640046238771e-08	-3.40679021818046
"TUBA1C"	4.85466590655152	3.99594798309569	1.45633394024688e-15	1.08506461288724	0.00423161396903336	5.08101259598293
"CD151"	4.74933024705235	2.35073278176496	5.00983963166863e-18	1.5664267105664	1.99233892110148e-12	3.91715949233136
"TNNT2"	4.70678549842085	1.49724988329372	0.00171323932553067	1.9210327490923	9.05933251273243e-06	3.41828263238602
"AABR07011951.1"	4.66723718575393	2.23927337886207	1.27316203606438e-09	2.66751578950499	3.24166458542717e-14	4.90678916836706
"BGN"	4.63775905943996	-2.7499637352161	2.09149585405795e-10	-1.09853878958304	0.00191926349249339	-3.84850252479914
"AABR07048992.1"	4.61598576383178	1.97477107248683	2.40519593025644e-07	2.40301348312975	1.99417704199312e-11	4.37778455561658
"HSPA8"	4.61598576383178	1.97477107248683	2.40519593025644e-07	2.40301348312975	1.99417704199312e-11	4.37778455561658
"CAPNS1"	4.61008627560643	-1.99258685692384	3.73132423534868e-08	-2.0073361897136	1.40748951237282e-08	-3.99992304663744
"AABR07052523.1"	4.58840215499142	1.38930756216935	0.0156884462799916	2.13570752900405	4.28112580342361e-05	3.5250150911734
"ENO1"	4.57350245208264	1.25284093494298	0.025555837830605	1.99924090177767	7.56604610317132e-05	3.25208183672065
"GM24016"	4.52682275984264	2.31262761535369	0.00355564391751453	3.25305620037162	6.36711522036961e-07	5.56568381572531
"AABR07052430.1"	4.51046568111009	2.47265382249754	4.96458956874572e-08	2.95903894386829	4.62636046030522e-12	5.43169276636584
"ENO1B"	4.47511082286715	1.65087979858743	0.0123764359354823	1.99924090177767	0.000683528655853005	3.6501207003651
"TXN"	4.47318295205209	1.34723141835994	4.81672830471785e-05	2.43460763948357	1.27472872370999e-13	3.78183905784351
"TXN1"	4.47318295205209	1.34723141835994	4.81672830471785e-05	2.43460763948357	1.27472872370999e-13	3.78183905784351
"TAGLN"	4.43463121549045	3.45552785072193	6.05140218353898e-25	1.80838612629258	3.70498829531825e-13	5.26391397701452
"DYNLL1"	4.43065474145088	2.12185519501753	1.02058140557923e-08	1.06613711159807	0.00110378451229032	3.1879923066156
"MORF4L1"	4.4224456369751	1.5647523127294	6.56490845042978e-08	2.03631213960934	2.04952116645586e-13	3.60106445233874
"H3F3A"	4.39466027978471	1.5555542026502	1.89258620654851e-07	1.49729670974784	2.70774939185164e-08	3.05285091239804
"TMSB4X"	4.38265315881084	1.06322454628942	6.88103754459994e-05	4.57685579267232	7.08262952374945e-35	5.64008033896174
"MYL1"	4.35430642486688	-3.62219092908992	2.27248942651165e-14	-2.64542318310782	4.82903414099618e-11	-6.26761411219774
"RAN"	4.35247703931834	1.93569851657683	1.10689839069664e-10	2.39965333334804	1.79613190466432e-16	4.33535184992487
"DSTN"	4.28712696013245	1.06063616707702	6.83875358783735e-19	1.94457900227249	3.33241629607508e-39	3.00521516934951
"AKR1B1"	4.27172843724851	2.05023612258872	4.88949367596429e-06	1.07393252102215	0.00163853432559114	3.12416864361086
"AKR1B3"	4.27172843724851	2.05023612258872	4.88949367596429e-06	1.07393252102215	0.00163853432559114	3.12416864361086
"AC093995.1"	4.2668655288391	1.09631052667181	8.3910613276851e-19	1.98025336186727	4.57344447745955e-38	3.07656388853908
"COL5A2"	4.26503696715378	1.33358729724137	3.67204407510855e-06	2.06453263048663	2.18594880156394e-13	3.398119927728
"DAD1"	4.2489143978778	-0.992892138168838	3.0574108397903e-07	-2.05554283538387	4.5695898915333e-22	-3.04843497355271
"AABR07016578.1"	4.24533937811828	-7.59386555184957	1.96036966888176e-08	-5.79149220626629	3.60147814585429e-06	-13.3853577581159
"PGAM1"	4.23369456021619	2.2956702453821	6.37696908688306e-14	1.67329672619632	1.29557026381619e-10	3.96896697157842
"MYL6"	4.23159176267261	2.67885026148302	9.70474424198751e-11	1.5062573050609	1.27813006028349e-05	4.18510756654392
"HMGN1"	4.22757559095457	0.951926567808822	0.0046766040919756	2.7297436172181	3.48835180784406e-15	3.68167018502693
"BIN1"	4.19251580388628	-2.29539316879286	3.32829624460153e-15	-1.11422299921444	1.3399163901115e-06	-3.4096161680073
"SLC25A3"	4.17296177668092	3.59881936089214	8.11490490598047e-16	1.74192277427769	2.46435466633681e-08	5.34074213516982
"COX6C"	4.16717085729334	1.08770720893037	0.00425555688873669	2.57285018896662	6.21578400564992e-12	3.66055739789698
"PCOLCE"	4.15217105314907	1.31225848143895	0.00073747752257413	1.81988242885084	3.58046325594149e-07	3.13214091028979
"PGAM4"	4.08257424429597	2.2956702453821	1.84250823712253e-08	2.07943257523192	1.19827782668909e-08	4.37510282061402
"BTF3"	4.04965095016102	1.74626721686498	1.02011610424291e-05	1.37908402134608	7.7453490991458e-05	3.12535123821106
"RACK1"	4.01191559262517	2.18849679688584	1.7284764089512e-09	2.82307027290751	1.77877928308816e-14	5.01156706979335
"PTGES3"	3.9752518673235	2.20604554905261	5.8586903682756e-11	1.90331893337537	1.60886054933486e-10	4.10936448242798
"PDIA6"	3.96519010789832	3.46297406411411	5.00920959472291e-25	1.48994436011784	4.11542000115236e-10	4.95291842423196
"COX7A2"	3.95546738172661	0.884464319515988	0.00327407266609294	2.73767761390824	2.4257060985426e-17	3.62214193342423
"COX7A2L2"	3.95546738172661	0.884464319515988	0.00327407266609294	2.73767761390824	2.4257060985426e-17	3.62214193342423
"MRFAP1"	3.93062443438307	1.25178035874047	0.000161282822510019	3.77730818830572	3.98113647294028e-23	5.02908854704619
"EIF3E"	3.92683682164678	1.68086094529803	0.00201537725494127	1.45587874985344	0.00423816597098005	3.13673969515147
"ALDOA"	3.92435849251074	3.0524768164041	5.13302528315086e-10	1.79085168484767	1.42907109605995e-05	4.84332850125177
"CALM1"	3.91256808904784	1.61850436016563	7.62695502531106e-11	1.43231784042796	8.77198515452138e-11	3.0508222005936
"MRFAP1L1"	3.86287127587072	1.25178035874047	0.000144631318504814	3.9657466604182	1.34873111514086e-24	5.21752701915867
"SOD1"	3.80409839948568	2.03836724189377	1.54816173968226e-09	1.10460590218209	9.43360791337579e-05	3.14297314407586
"SKP1"	3.79988313354202	1.55524843786428	2.30816675614631e-08	2.18295739293863	2.31504262362285e-14	3.73820583080291
"SKP1A"	3.79988313354202	1.55524843786428	2.30816675614631e-08	2.18295739293863	2.31504262362285e-14	3.73820583080291
"HMGN2"	3.75331580944616	3.68669195145289	1.64833701551567e-13	1.11675698415816	0.00425236674258068	4.80344893561105
"AABR07015596.1"	3.7281227669835	-5.68911791698889	1.17498855381176e-13	-3.95899697705237	3.57645974045609e-09	-9.64811489404126
"MORF4L2"	3.72718934953023	0.710503160510909	0.0444638329910509	2.95085440524792	1.48311768287482e-15	3.66135756575883
"GM24698"	3.70537577320759	5.94255743426041	0.000221282300131968	5.92189098492152	3.99275462413657e-12	11.8644484191819
"AC093512.2"	3.70378079924233	3.91402680881972	1.27567050198069e-13	1.77896896786969	2.41737259302947e-05	5.69299577668941
"ILK"	3.68387654460565	2.06365143809711	2.81610287900247e-18	1.03000542862941	1.84917231657879e-08	3.09365686672652
"ATP1B3"	3.65556411833283	1.22226298026166	9.88125765358518e-12	3.70944194513475	1.4011239678258e-43	4.93170492539641
"ARPC1B"	3.64401913954839	2.44638445038196	3.37502681202099e-13	0.87566473501233	0.000315736935501206	3.32204918539429
"RAC1"	3.63998873793997	-1.95850248327854	2.15914863250791e-36	-1.17878031350047	4.18895131864561e-25	-3.13728279677901
"SDCBP"	3.63851456985879	5.03656948592303	9.06467821819811e-28	1.07799990452459	0.000226145905130256	6.11456939044761
"SPCS1"	3.6351350621332	2.47235933044958	2.05059338443976e-08	1.74851763840199	2.70239455665719e-07	4.22087696885157
"SPCS3"	3.62603884256584	1.38486070105697	1.78576797628905e-14	2.22334943975524	1.27274974559533e-31	3.60821014081222
"TOMM20"	3.62324470120402	1.53188528410994	1.38259419107773e-07	1.55009566677896	8.14457018185308e-11	3.08198095088889
